skill,path,category,priority,purpose,flow_use_case,expected_frequency,context_token_cost,overlap,security_risk,signals,recommendation,bytes
appinsights-instrumentation,appinsights-instrumentation,F - DOMAIN-SPECIFIC / FUTURE,P3,"Guidance for instrumenting webapps with Azure Application Insights. Provides telemetry patterns, SDK setup, and configuration references. WHEN: how to instrument app, App Insights SDK, telemetry patterns, what is App Insights, Application I","Potential future connector/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,credential handling,Park for future integrations,3734
appkit-interop,appkit-interop,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Bridge macOS SwiftUI into AppKit narrowly. Use when implementing representables, reaching NSWindow or panels, handling menus, or using the responder chain.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW,No notable risky pattern in sampled scan,Keep on-demand for infra/deploy,2826
applicationinsights-web-ts,applicationinsights-web-ts,D - UI/UX,P1,"Instrument browser/web apps with the Application Insights JavaScript SDK (@microsoft/applicationinsights-web). Use for Real User Monitoring (RUM) — page views, clicks, AJAX/fetch dependencies, exceptions, custom events, and browser-side Gen","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Keep for UI work,20893
atheris,atheris,C - SECURITY GATE,P1,>,"Run before risky code, auth, data, deployment, external-action, dependency, or agent changes.",Gate-triggered,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution,Keep as security gate,14423
attack-path-analysis,attack-path-analysis,C - SECURITY GATE,P1,"Use when Codex is already in the attack-path-analysis phase of a security scan or the user explicitly asks to trace a security finding from source to sink and calibrate severity. Do not use as the primary trigger for full PR, commit, branch","Run before risky code, auth, data, deployment, external-action, dependency, or agent changes.",Gate-triggered,Medium,None obvious,LOW-MEDIUM,credential handling,Keep as security gate,7074
audit-augmentation,audit-augmentation,C - SECURITY GATE,P1,>,"Run before risky code, auth, data, deployment, external-action, dependency, or agent changes.",Gate-triggered,High,None obvious,MEDIUM,shell/package execution; credential handling,Keep as security gate,9243
audit-context-building,audit-context-building,C - SECURITY GATE,P1,"Understand a codebase before looking for bugs in it - what each function assumes, what it guarantees, and what it depends on elsewhere. Use when starting an audit, threat model, or architecture review on unfamiliar code, and before any vuln","Run before risky code, auth, data, deployment, external-action, dependency, or agent changes.",Gate-triggered,Medium,None obvious,LOW-MEDIUM,credential handling,Keep as security gate,3974
audit-prep-assistant,audit-prep-assistant,H - IRRELEVANT TO FLOW,P4,"Prepares codebases for security review using Trail of Bits' checklist. Helps set review goals, runs static analysis tools, increases test coverage, removes dead code, ensures accessibility, and generates documentation (flowcharts, user stor",No clear current Flow use case found.,Unlikely,High,None obvious,LOW-MEDIUM,shell/package execution,Candidate to disable after approval; review before use with credentials or shell access,9644
auth,auth,A - CORE / FREQUENT,P1,"Authentication integration guidance — Clerk (native Vercel Marketplace), Descope, and Auth0 setup for Next.js applications. Covers middleware auth patterns, sign-in/sign-up flows, and Marketplace provisioning. Use when implementing user aut","Current Flow architecture, agent, MCP, database, frontend, verification, security, or workflow work.",Frequent,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Keep as core candidate,9339
azure-ai,azure-ai,F - DOMAIN-SPECIFIC / FUTURE,P3,"Use for Azure AI: Search, Speech, OpenAI, Document Intelligence. Helps with search, vector/hybrid search, speech-to-text, text-to-speech, transcription, OCR. WHEN: AI Search, query search, vector search, hybrid search, semantic search, spee","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,credential handling,Park for future integrations,3268
azure-ai-agents-persistent-dotnet,azure-ai-agents-persistent-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,11813
azure-ai-agents-persistent-java,azure-ai-agents-persistent-java,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,4411
azure-ai-anomalydetector-java,azure-ai-anomalydetector-java,F - DOMAIN-SPECIFIC / FUTURE,P3,"Build anomaly detection applications with Azure AI Anomaly Detector SDK for Java. Use when implementing univariate/multivariate anomaly detection, time-series analysis, or AI-powered monitoring.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,9048
azure-ai-contentsafety-java,azure-ai-contentsafety-java,F - DOMAIN-SPECIFIC / FUTURE,P3,"Build content moderation applications with Azure AI Content Safety SDK for Java. Use when implementing text/image analysis, blocklist management, or harm detection for hate, violence, sexual content, and self-harm.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,8510
azure-ai-contentsafety-py,azure-ai-contentsafety-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,8980
azure-ai-contentsafety-ts,azure-ai-contentsafety-ts,F - DOMAIN-SPECIFIC / FUTURE,P3,"Analyze text and images for harmful content using Azure AI Content Safety (@azure-rest/ai-content-safety). Use when moderating user-generated content, detecting hate speech, violence, sexual content, or self-harm, or managing custom blockli","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,8304
azure-ai-contentunderstanding-py,azure-ai-contentunderstanding-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,10508
azure-ai-document-intelligence-dotnet,azure-ai-document-intelligence-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,11885
azure-ai-document-intelligence-ts,azure-ai-document-intelligence-ts,F - DOMAIN-SPECIFIC / FUTURE,P3,"Extract text, tables, and structured data from documents using Azure Document Intelligence (@azure-rest/ai-document-intelligence). Use when processing invoices, receipts, IDs, forms, or building custom document models.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,9740
azure-ai-formrecognizer-java,azure-ai-formrecognizer-java,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,13400
azure-ai-language-conversations-py,azure-ai-language-conversations-py,F - DOMAIN-SPECIFIC / FUTURE,P3,"Implement Conversational Language Understanding (CLU) using the azure-ai-language-conversations Python SDK. Use when working with ConversationAnalysisClient to analyze conversation intent and entities, building NLP features, or integrating ","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,credential handling; global/local config,Park for future integrations,5493
azure-ai-ml-py,azure-ai-ml-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,8805
azure-ai-openai-dotnet,azure-ai-openai-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,13427
azure-ai-projects-dotnet,azure-ai-projects-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,11602
azure-ai-projects-java,azure-ai-projects-java,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,5518
azure-ai-projects-py,azure-ai-projects-py,F - DOMAIN-SPECIFIC / FUTURE,P3,"Build AI applications using the Azure AI Projects Python SDK (azure-ai-projects). Use when working with Foundry project clients, creating versioned agents with PromptAgentDefinition, running evaluations, managing connections/deployments/dat","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,11053
azure-ai-projects-ts,azure-ai-projects-ts,F - DOMAIN-SPECIFIC / FUTURE,P3,"Build AI applications using Azure AI Projects SDK for JavaScript (@azure/ai-projects). Use when working with Foundry project clients, agents, connections, deployments, datasets, indexes, evaluations, or getting OpenAI clients.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,7556
azure-ai-textanalytics-py,azure-ai-textanalytics-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,9561
azure-ai-transcription-py,azure-ai-transcription-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,4080
azure-ai-translation-document-py,azure-ai-translation-document-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,10507
azure-ai-translation-text-py,azure-ai-translation-text-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,10871
azure-ai-translation-ts,azure-ai-translation-ts,F - DOMAIN-SPECIFIC / FUTURE,P3,"Build translation applications using Azure Translation SDKs for JavaScript (@azure-rest/ai-translation-text, @azure-rest/ai-translation-document). Use when implementing text translation, transliteration, language detection, or batch documen","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,7865
azure-ai-vision-imageanalysis-java,azure-ai-vision-imageanalysis-java,F - DOMAIN-SPECIFIC / FUTURE,P3,"Build image analysis applications with Azure AI Vision SDK for Java. Use when implementing image captioning, OCR text extraction, object detection, tagging, or smart cropping.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,8730
azure-ai-vision-imageanalysis-py,azure-ai-vision-imageanalysis-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,9959
azure-ai-voicelive-dotnet,azure-ai-voicelive-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,9110
azure-ai-voicelive-java,azure-ai-voicelive-java,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,8129
azure-ai-voicelive-py,azure-ai-voicelive-py,F - DOMAIN-SPECIFIC / FUTURE,P3,"Build real-time voice AI applications using Azure AI Voice Live SDK (azure-ai-voicelive). Use this skill when creating Python applications that need real-time bidirectional audio communication with Azure AI, including voice assistants, voic","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,11576
azure-ai-voicelive-ts,azure-ai-voicelive-ts,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,13781
azure-aigateway,azure-aigateway,F - DOMAIN-SPECIFIC / FUTURE,P3,"Configure Azure API Management as an AI Gateway for AI models, MCP tools, and agents. WHEN: semantic caching, token limit, content safety, load balancing, AI model governance, MCP rate limiting, jailbreak detection, add Azure OpenAI backend","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling,Park for future integrations,5029
azure-app-onboard,azure-app-onboard,F - DOMAIN-SPECIFIC / FUTURE,P3,"End-to-end orchestrator: from a business idea, app idea, or existing app to running Azure deployment with cost estimates and pre-deploy approval. Analyzes your app, auto-detects the right Azure services, scaffolds infrastructure code, and d","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,credential handling,Park for future integrations,6479
deploy,azure-app-onboard/deploy,G - DUPLICATE / OVERLAPPING,P3,No description in frontmatter,Nested generic skill; use only via parent context.,Only through parent/domain,Medium,Generic nested duplicate basename,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Prefer parent/provider router; disable only if trigger noise appears,7261
prepare,azure-app-onboard/prepare,G - DUPLICATE / OVERLAPPING,P3,No description in frontmatter,Nested generic skill; use only via parent context.,Only through parent/domain,Medium,Generic nested duplicate basename,LOW,No notable risky pattern in sampled scan,Prefer parent/provider router; disable only if trigger noise appears,6262
scaffold,azure-app-onboard/scaffold,G - DUPLICATE / OVERLAPPING,P3,No description in frontmatter,Nested generic skill; use only via parent context.,Only through parent/domain,High,Generic nested duplicate basename,LOW-MEDIUM,shell/package execution,Prefer parent/provider router; disable only if trigger noise appears,14367
azure-app-onboard-prereq,azure-app-onboard-prereq,F - DOMAIN-SPECIFIC / FUTURE,P3,"Assess whether source code is ready to deploy to Azure — the check BEFORE infrastructure work. Evaluates build health, app completeness, dependencies and local services, stack compatibility, and deployment feasibility. Answers questions abo","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access,Park for future integrations,10048
azure-appconfiguration-java,azure-appconfiguration-java,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,13865
azure-appconfiguration-py,azure-appconfiguration-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,7711
azure-appconfiguration-ts,azure-appconfiguration-ts,F - DOMAIN-SPECIFIC / FUTURE,P3,"Build applications using Azure App Configuration SDK for JavaScript (@azure/app-configuration). Use when working with configuration settings, feature flags, Key Vault references, dynamic refresh, or centralized configuration management.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,8941
azure-cloud-migrate,azure-cloud-migrate,F - DOMAIN-SPECIFIC / FUTURE,P3,"Assess and migrate cross-cloud workloads to Azure with reports and code conversion. Supports Lambda→Functions, Beanstalk/Heroku/App Engine→App Service, Fargate/Kubernetes/Cloud Run/Spring Boot→Container Apps. WHEN: migrate Lambda to Functio","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,credential handling; broad external access,Park for future integrations,4327
azure-communication-callautomation-java,azure-communication-callautomation-java,F - DOMAIN-SPECIFIC / FUTURE,P3,"Build call automation workflows with Azure Communication Services Call Automation Java SDK. Use when implementing IVR systems, call routing, call recording, DTMF recognition, text-to-speech, or AI-powered call flows.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Park for future integrations,9277
